InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour
2021217978,"8/29/2021 7:57:44 AM","207 DILLON DR","          ",1687640.88,1153759.75,"CHECK THE WELFARE",,"10E ",Sunday,07
2021217968,"8/29/2021 7:36:55 AM","I70 W/RANGE LINE ST","          ",1690221.38,1141632.13,"CHECK SUBJECT",,"30S ",Sunday,07
2021217958,"8/29/2021 7:23:35 AM","2307 MONMOUTH CT","          ",1696021.63,1119871.88,"911 CHECKS",,"60E ",Sunday,07
2021217953,"8/29/2021 7:14:39 AM","703 N EIGHTH ST","          ",1689185.38,1138061.75,TRESPASSING,,"20E ",Sunday,07
2021217952,"8/29/2021 7:13:09 AM","N FAIRVIEW RD/W BROADWAY","          ",1674318.13,1136526,"KEEP THE PEACE",,"50W ",Sunday,07
2021217945,"8/29/2021 6:50:30 AM","N HWY 63 SB/E BROADWAY OFFR SB","          ",1699198.75,1135254.25,ASSAULT,2021008338,"80N ",Sunday,06
2021217935,"8/29/2021 6:30:51 AM","1715-D W WORLEY ST","          ",1678721.25,1138786.75,"LAW ALARM",,"10W ",Sunday,06
2021217933,"8/29/2021 6:27:16 AM","S FAIRVIEW RD/ROLLINS RD","          ",1674300.75,1133625.88,"FOUND PERSON",,"50W ",Sunday,06
2021217929,"8/29/2021 5:33:56 AM","E WALNUT ST/N TENTH ST","          ",1689751.13,1135765.88,"PARKING VIOLATION",,"70D ",Sunday,05
2021217922,"8/29/2021 4:46:46 AM","2007 MCKEE ST","          ",1705973.63,1142943.88,DISTURBANCE,2021008337,"40E ",Sunday,04
2021217921,"8/29/2021 4:38:09 AM","310 DEAN ST","          ",1684907,1138518.88,DISTURBANCE,,"20W ",Sunday,04
2021217918,"8/29/2021 4:30:15 AM","217 W BROADWAY","          ",1685431.25,1135434.13,"SUSPICIOUS VEHICLE",,"50E ",Sunday,04
2021217913,"8/29/2021 4:27:26 AM","407-B N EIGHTH ST","          ",1689152.63,1137067.88,"SUSPICIOUS PERSON",,"20E ",Sunday,04
2021217909,"8/29/2021 4:12:36 AM","804-A E BROADWAY","          ",1689214.25,1135325.88,"SUSPICIOUS INCIDENT",,"70D ",Sunday,04
2021217902,"8/29/2021 3:57:24 AM","505 BREWER DR","          ",1669348.13,1134954.75,DISTURBANCE,,"50W ",Sunday,03
2021217901,"8/29/2021 3:47:43 AM","BIG BEAR BLVD/DEAD END","          ",1690784.13,1144673.13,"CHECK SUBJECT",,"30S ",Sunday,03
2021217897,"8/29/2021 3:38:19 AM","2009 GRANT LN","          ",1671499,1128173.5,"LAW ALARM",,"50W ",Sunday,03
2021217896,"8/29/2021 3:30:12 AM","1412 RANGE LINE ST","          ",1690457.88,1140688.25,TRESPASSING,,"30S ",Sunday,03
2021217895,"8/29/2021 3:28:25 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Sunday,03
2021217893,"8/29/2021 3:01:57 AM","419 E BROADWAY","          ",1688133,1135523,"911 CHECKS",,"70D ",Sunday,03
2021217891,"8/29/2021 2:54:51 AM","1412 RANGE LINE ST","          ",1690457.88,1140688.25,VANDALISM,2021008335,"30S ",Sunday,02
2021217889,"8/29/2021 2:52:18 AM","1109 E BROADWAY","          ",1690214.88,1135428.13,"MISSING PERSON",2021008336,"70D ",Sunday,02
2021217888,"8/29/2021 2:42:44 AM","220 S TENTH ST","          ",1689841.13,1134571.75,DISTURBANCE,,"70D ",Sunday,02
2021217887,"8/29/2021 2:39:09 AM","LARCH CT/FIR PL","          ",1690674.25,1141181.13,"SHOTS HEARD",,"30S ",Sunday,02
2021217884,"8/29/2021 2:32:26 AM","2116 PARIS RD","          ",1695783.13,1141958.5,"CHECK SUBJECT",,"40W ",Sunday,02
2021217883,"8/29/2021 2:32:14 AM",GREELEY,"          ",,,"TRAFFIC STOP",,"    ",Sunday,02
2021217881,"8/29/2021 2:25:16 AM","1112-1 E BROADWAY","          ",1690480.88,1135171.5,"ASSIST FIRE",,"70E ",Sunday,02
2021217876,"8/29/2021 2:15:36 AM","1526 RALEIGH DR","          ",1693082,1153332.38,"MISSING PERSON",,"30N ",Sunday,02
2021217874,"8/29/2021 2:12:21 AM","E BUSINESS LOOP 70/N SEVENTH ST","          ",1688918.5,1139978.75,"TRAFFIC STOP",,"20E ",Sunday,02
2021217870,"8/29/2021 2:05:56 AM","1014 E BROADWAY","          ",1689925.38,1135305.13,DISTURBANCE,,"70D ",Sunday,02
2021217867,"8/29/2021 2:02:34 AM","N OLD 63/E WALNUT ST","          ",1693830.75,1135655.38,"TRAFFIC STOP",2021008334,"80N ",Sunday,02
2021217866,"8/29/2021 1:57:00 AM","N NINTH ST/E BROADWAY","          ",1689448.5,1135396.13,"SUSPICIOUS INCIDENT",,"70D ",Sunday,01
2021217865,"8/29/2021 1:54:48 AM","N NINTH ST/E WALNUT ST","          ",1689456.63,1135743,DISTURBANCE,,"70D ",Sunday,01
2021217862,"8/29/2021 1:49:27 AM","PARIS RD/WHITE GATE DR","          ",1695167,1141430.38,"TRAFFIC HAZARD",,"40W ",Sunday,01
2021217860,"8/29/2021 1:48:21 AM","1400-BLK RANGE LINE ST","          ",1690267,1140328.75,"TRAFFIC STOP",,"30S ",Sunday,01
2021217859,"8/29/2021 1:47:39 AM","COATS ST/NORTH BLVD","          ",1689440.75,1139861.13,"C&I DRIVING",,"20E ",Sunday,01
2021217857,"8/29/2021 1:46:03 AM","716 E BUSINESS LOOP 70","          ",1689315,1139780.13,"CHECK SUBJECT",,"20E ",Sunday,01
2021217856,"8/29/2021 1:38:48 AM","12 S NINTH ST","          ",1689501.5,1135205.25,DISTURBANCE,,"70D ",Sunday,01
2021217849,"8/29/2021 1:24:30 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Sunday,01
2021217848,"8/29/2021 1:23:50 AM","5579 S BETHEL LN","          ",1683796.88,1112236,"PARKING VIOLATION",,"60W ",Sunday,01
2021217845,"8/29/2021 1:21:49 AM","2205 N STADIUM BLVD","          ",1676946.88,1145029.13,LARCENY,,"10W ",Sunday,01
2021217844,"8/29/2021 1:20:06 AM","E ASH ST/N SIXTH ST","          ",1688535.75,1136156.88,"TRAFFIC STOP",,"70D ",Sunday,01
2021217843,"8/29/2021 1:18:30 AM","1612 N PROVIDENCE RD","          ",1688133.75,1142247.63,"911 CHECKS",,"10E ",Sunday,01
2021217841,"8/29/2021 1:17:43 AM","825-604 ELM ST","          ",1689370.13,1134406.25,DISTURBANCE,,"70D ",Sunday,01
2021217837,"8/29/2021 1:10:35 AM","BROWN STATION RD/FLATWATER DR","          ",1704059.88,1158931,ACCIDENT,,"30N ",Sunday,01
2021217836,"8/29/2021 1:08:14 AM","904 E BUSINESS LOOP 70","          ",1689789.5,1139878.25,"FOOT PATROL",,"20E ",Sunday,01
2021217832,"8/29/2021 12:58:25 AM","E STADIUM BLVD/S COLLEGE AVE","          ",1690731.88,1129260.13,"TRAFFIC STOP",,MUG2,Sunday,00
2021217826,"8/29/2021 12:47:49 AM","E BUSINESS LOOP 70/POPLAR ST","          ",1691597.63,1139925,"TRAFFIC STOP",,"30S ",Sunday,00
2021217825,"8/29/2021 12:47:22 AM","4304 W TEJON CIR","          ",1668748.13,1127363,LARCENY,2021008333,"50W ",Sunday,00
2021217824,"8/29/2021 12:45:03 AM","3408 BALBOA LN","          ",1687160.13,1121326.88,"SUSPICIOUS VEHICLE",,"60W ",Sunday,00
2021217823,"8/29/2021 12:43:44 AM","1306 CREASY SPRINGS RD","          ",1682477.63,1141096.88,"CHECK SUBJECT",,"10E ",Sunday,00
2021217821,"8/29/2021 12:35:34 AM","1080 E BROADWAY","          ",1689986.25,1135358.88,"FOOT PATROL",,"70D ",Sunday,00
2021217812,"8/29/2021 12:22:23 AM","S PROVIDENCE RD/TURNER AVE","          ",1687476.38,1132627.38,"TRAFFIC STOP",,"60E ",Sunday,00
2021217811,"8/29/2021 12:19:59 AM","3323 JENNE HILL DR","          ",1700972.38,1150679.63,"LEAVING THE SCENE ACCIDENT",2021008332,"30N ",Sunday,00
2021217810,"8/29/2021 12:18:50 AM","102-B PINEWOOD DR","          ",1681238.13,1136450.75,"911 CHECKS",,"50E ",Sunday,00
2021217807,"8/29/2021 12:14:34 AM","1000 W WORLEY ST","          ",1682213.25,1138165.25,"CHECK SUBJECT",,"20W ",Sunday,00
2021217804,"8/29/2021 12:13:36 AM","ALLEN WALKWAY/ALLEN ST","          ",1686819.38,1136734.63,"911 CHECKS",,"20W ",Sunday,00
2021217800,"8/29/2021 12:11:41 AM","100-BLK N GARTH AVE","          ",1686222.75,1135855.75,"SUSPICIOUS INCIDENT",,"50E ",Sunday,00
2021217796,"8/29/2021 12:07:24 AM","1503-A TUPELO PL","          ",1690840.38,1140826.13,DISTURBANCE,,"30S ",Sunday,00
2021217795,"8/29/2021 12:03:31 AM","E BROADWAY/N TENTH ST","          ",1689743.13,1135382,"TRAFFIC STOP",,"70D ",Sunday,00
2021217791,"8/29/2021 12:00:21 AM","1712 PRINCETON DR","          ",1678702.88,1131958.88,"LAW ALARM",,"50E ",Sunday,00
2021217788,"8/28/2021 11:55:08 PM","2009 BERNADETTE DR","          ",1677276.38,1140567.13,ACCIDENT,,"10W ",Saturday,23
2021217787,"8/28/2021 11:53:50 PM","2904-66 RANGE LINE ST","          ",1690457.63,1145780,"SUSPICIOUS VEHICLE",,"30S ",Saturday,23
2021217785,"8/28/2021 11:51:35 PM","2518 E BUSINESS LOOP 70","          ",1697267.63,1139554,"TRAFFIC STOP",,"40W ",Saturday,23
2021217782,"8/28/2021 11:48:03 PM","2711 W BROADWAY","          ",1674791.88,1136586.75,"SUSPICIOUS PERSON",,"50W ",Saturday,23
2021217780,"8/28/2021 11:46:33 PM","2306 E BUSINESS LOOP 70","          ",1696217.88,1139715.5,TRESPASSING,,"40W ",Saturday,23
2021217778,"8/28/2021 11:44:10 PM","507 BANKS AVE","          ",1684562.88,1138176.5,DISTURBANCE,,"20W ",Saturday,23
2021217775,"8/28/2021 11:41:03 PM","N OLD 63/E WALNUT ST","          ",1693830.75,1135655.38,"TRAFFIC STOP",,"80N ",Saturday,23
2021217774,"8/28/2021 11:40:26 PM","319 N GARTH AVE","          ",1686174.25,1137222,"911 CHECKS",,"20W ",Saturday,23
2021217768,"8/28/2021 11:27:36 PM","1705 E BROADWAY","          ",1693525,1135035.13,"911 CHECKS",,"70E ",Saturday,23
2021217766,"8/28/2021 11:26:47 PM","512 SPENCER AVE","          ",1679314.38,1138926.75,HARASSMENT,,"10W ",Saturday,23
2021217764,"8/28/2021 11:21:42 PM","3220-404 ROCK QUARRY RD","          ",1693544.88,1121932.38,DISTURBANCE,,"80S ",Saturday,23
2021217762,"8/28/2021 11:19:33 PM","2627 S OLD 63","          ",1695065.63,1123813.5,DISTURBANCE,,"80S ",Saturday,23
2021217758,"8/28/2021 11:18:02 PM","N STADIUM BLVD/I70 E","          ",1677038.63,1141410.75,ACCIDENT,,"10W ",Saturday,23
2021217752,"8/28/2021 11:13:56 PM","1808 SUNRISE DR","          ",1694047.63,1134207.5,"SUSPICIOUS INCIDENT",,"70E ",Saturday,23
2021217748,"8/28/2021 11:09:30 PM","1246 I70 E","          ",1677275,1141198,"911 CHECKS",,"10W ",Saturday,23
2021217747,"8/28/2021 11:08:04 PM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"ASSIST CITIZEN",,"80A ",Saturday,23
2021217745,"8/28/2021 11:06:14 PM","CLARK LN/BALLENGER PL","          ",1706607.38,1139710.5,"TRAFFIC STOP",2021008330,"40E ",Saturday,23
2021217741,"8/28/2021 11:00:46 PM","KOALA DR/RAIN FOREST PKWY","          ",1689356.75,1149234.75,"FOOT PATROL",,"10E ",Saturday,23
2021217739,"8/28/2021 11:00:12 PM","400 N PROVIDENCE RD","          ",1687744.38,1137126.88,"CHECK SUBJECT",2021008331,"20E ",Saturday,23
2021217735,"8/28/2021 10:54:37 PM","CONLEY RD/CONNECTOR","          ",1699452,1138276,"TRAFFIC STOP",,"80N ",Saturday,22
2021217732,"8/28/2021 10:52:22 PM","1002 FAY ST","          ",1690925,1138947.88,"LAW ALARM",,"20E ",Saturday,22
2021217731,"8/28/2021 10:49:44 PM","1434 KITTY HAWK DR","          ",1692102.25,1144677.25,BURGLARY,2021008329,"30S ",Saturday,22
2021217729,"8/28/2021 10:46:17 PM","VANDIVER DR/N PROVIDENCE RD","          ",1687731.13,1142793,TRAFFIC,,"10E ",Saturday,22
2021217728,"8/28/2021 10:43:55 PM","2300-B BERNADETTE DR","          ",1675942.38,1139995.25,"LAW ALARM",,"10W ",Saturday,22
2021217726,"8/28/2021 10:43:09 PM","1005 ELLETA BLVD","          ",1690232.5,1144090.13,"LEAVING THE SCENE ACCIDENT",,"30S ",Saturday,22
2021217725,"8/28/2021 10:41:44 PM","709 WILKES BLVD","          ",1689273.25,1138708.38,"TRESPASS SUBJECT",,"20E ",Saturday,22
2021217724,"8/28/2021 10:37:30 PM","1612 N PROVIDENCE RD","          ",1688133.75,1142247.63,"911 CHECKS",,"10E ",Saturday,22
2021217723,"8/28/2021 10:36:54 PM","2400-BLK CHAPEL HILL RD","          ",1675724,1128429,"911 CHECKS",,"50W ",Saturday,22
2021217722,"8/28/2021 10:36:33 PM","3810 CROCODILE DR","          ",1689680,1148954,"SUSPICIOUS INCIDENT",,"10E ",Saturday,22
2021217720,"8/28/2021 10:33:29 PM","4400-BLK RICE RD","          ",1705524.25,1143020.63,"SUSPICIOUS INCIDENT",,"40E ",Saturday,22
2021217717,"8/28/2021 10:30:06 PM","5042-100 CLARK LN","          ",1708981,1139371.13,"CHECK SUBJECT",,"40E ",Saturday,22
2021217716,"8/28/2021 10:29:06 PM","504 FAY ST","          ",1690933.38,1137495.75,"911 CHECKS",,"20E ",Saturday,22
2021217714,"8/28/2021 10:20:16 PM","W BROADWAY/N WEST BLVD","          ",1682269.63,1135590.25,"TRAFFIC STOP",,"50E ",Saturday,22
2021217712,"8/28/2021 10:14:26 PM","400-BLK S COLLEGE AVE","          ",1691055.63,1134030.5,"911 CHECKS",,"70E ",Saturday,22
2021217704,"8/28/2021 10:08:21 PM","301-528 TIGER LN","          ",1677397.75,1137971.13,"PEACE DISTURBANCE",,"10W ",Saturday,22
2021217703,"8/28/2021 10:07:36 PM","3211-A CLARK LN","          ",1700093.75,1140085.13,"ASSIST CITIZEN",,"40W ",Saturday,22
2021217699,"8/28/2021 10:00:06 PM","1207 LAKEVIEW AVE","          ",1691173.75,1140369.63,"CHECK SUBJECT",,"30S ",Saturday,22
2021217696,"8/28/2021 9:54:24 PM","112-A OAK ST","          ",1685909.5,1136627.13,DISTURBANCE,,"20W ",Saturday,21
2021217688,"8/28/2021 9:46:53 PM","1500 SIR BARTON DR","          ",1692495.88,1149496.13,DISTURBANCE,2021008328,"30S ",Saturday,21
2021217687,"8/28/2021 9:45:58 PM","N COLLEGE AVE/E BROADWAY","          ",1691065,1135359.5,ACCIDENT,,"70E ",Saturday,21
2021217683,"8/28/2021 9:38:02 PM","1402 CINNAMON HILL LN","          ",1699480,1129146.5,"TRESPASS SUBJECT",,"80S ",Saturday,21
2021217677,"8/28/2021 9:27:08 PM","E BROADWAY/N PROVIDENCE RD","          ",1687568,1135430.25,"TRAFFIC HAZARD",,"50E ",Saturday,21
2021217676,"8/28/2021 9:25:54 PM","507 BANKS AVE","          ",1684562.88,1138176.5,"911 CHECKS",,"20W ",Saturday,21
2021217672,"8/28/2021 9:20:00 PM","1615-S7 W BUSINESS LOOP 70","          ",1677603.63,1141854.75,"PEACE DISTURBANCE",,"10W ",Saturday,21
2021217670,"8/28/2021 9:18:59 PM","RIDGEWAY AVE/RIDGEWAY PL","          ",1683779.75,1137689.25,"911 CHECKS",,"20W ",Saturday,21
2021217669,"8/28/2021 9:16:20 PM","3200-BLK LYNNWOOD DR","          ",1683038.75,1122950.25,"911 CHECKS",,"60E ",Saturday,21
2021217668,"8/28/2021 9:12:36 PM","2939-C LEEWAY DR","          ",1699100.75,1148354,"SUSPICIOUS INCIDENT",,"30N ",Saturday,21
2021217667,"8/28/2021 9:09:27 PM","LYNNWOOD DR/SYCAMORE LN","          ",1683016.63,1122989.25,"911 CHECKS",,"60E ",Saturday,21
2021217665,"8/28/2021 9:04:27 PM","310 HARTLEY CT","          ",1692814.75,1136913.63,"PEACE DISTURBANCE",,"70E ",Saturday,21
2021217664,"8/28/2021 9:03:02 PM","SPRINGDALE DR/GLENVIEW CT","          ",1697518,1150520.75,"TRAFFIC STOP",,"30N ",Saturday,21
2021217663,"8/28/2021 9:01:43 PM","IRIS DR/VIOLET CT","          ",1675285.38,1145331.63,"CHECK THE WELFARE",,"10W ",Saturday,21
2021217660,"8/28/2021 8:56:58 PM","2701-1 QUAIL DR","          ",1698187.38,1141863.13,"PEACE DISTURBANCE",,"40W ",Saturday,20
2021217659,"8/28/2021 8:54:49 PM","500 N COLLEGE AVE","          ",1691289,1137395.5,"911 CHECKS",,"70E ",Saturday,20
2021217656,"8/28/2021 8:50:49 PM","2009 BERNADETTE DR","          ",1677276.38,1140567.13,"911 CHECKS",,"10W ",Saturday,20
2021217655,"8/28/2021 8:48:13 PM","815 E BUSINESS LOOP 70","          ",1689742.75,1140036.25,"LAW ALARM",,"20E ",Saturday,20
2021217652,"8/28/2021 8:38:49 PM","1200 N EIGHTH ST","          ",1690019.13,1139620.38,"CHECK BUILDING",,"20E ",Saturday,20
2021217650,"8/28/2021 8:33:23 PM","1115-703 KENNESAW RIDGE RD","          ",1691016.5,1149107.38,"PEACE DISTURBANCE",,"30S ",Saturday,20
2021217648,"8/28/2021 8:30:44 PM","BEARFIELD RD/TEMPE CT","          ",1696190.38,1121275.38,"TRAFFIC STOP",,"80S ",Saturday,20
2021217645,"8/28/2021 8:21:55 PM","1109 E BROADWAY","          ",1690214.88,1135428.13,"911 CHECKS",,"70D ",Saturday,20
2021217644,"8/28/2021 8:20:55 PM","1811 STONE HILL DR","          ",1693879.75,1126742.25,"911 CHECKS",,"80S ",Saturday,20
2021217626,"8/28/2021 7:44:10 PM","208 HICKS DR","          ",1685601.88,1138017.75,DISTURBANCE,2021008326,"20W ",Saturday,19
2021217625,"8/28/2021 7:42:02 PM","702-TP WILKES BLVD","          ",1689024.5,1138537.25,"CHECK SUBJECT",,"20E ",Saturday,19
2021217623,"8/28/2021 7:38:23 PM","3635 BRIARMONT AVE","          ",1701393.5,1115835.25,"911 CHECKS",,"80S ",Saturday,19
2021217621,"8/28/2021 7:36:45 PM","2301 S PROVIDENCE RD","          ",1685874,1125180,"911 CHECKS",,"60E ",Saturday,19
2021217620,"8/28/2021 7:34:19 PM","3415 BRAY AVE","          ",1672274.25,1131411.63,"SUSPICIOUS INCIDENT",2021008327,"50W ",Saturday,19
2021217619,"8/28/2021 7:33:28 PM","815 E GREEN MEADOWS RD","          ",1689312.25,1121962.63,"911 CHECKS",,"60E ",Saturday,19
2021217618,"8/28/2021 7:33:14 PM","1300 I70 E","          ",1704778.13,1138816.38,"TRAFFIC HAZARD",,"40E ",Saturday,19
2021217617,"8/28/2021 7:32:32 PM","1009 N EIGHTH ST","          ",1689762.75,1139205.5,"CHECK AREA",,"20E ",Saturday,19
2021217615,"8/28/2021 7:31:31 PM","N OAKLAND GRAVEL RD/E PRATHERSVILLE RD","          ",1696626.13,1158405,"TRAFFIC STOP",,"104 ",Saturday,19
2021217608,"8/28/2021 7:17:16 PM","10 E SOUTHAMPTON DR","          ",1685896.13,1116454.38,"911 CHECKS",,"60W ",Saturday,19
2021217601,"8/28/2021 7:07:10 PM","1707 SMILEY LN","          ",1693882.38,1150629.63,"911 CHECKS",,"30N ",Saturday,19
2021217595,"8/28/2021 7:00:32 PM","3215-A CLARK LN","          ",1700311,1140735,TRESPASSING,,"40W ",Saturday,19
2021217594,"8/28/2021 7:00:23 PM","3215-A CLARK LN","          ",1700311,1140735,"CIVIL MATTER",,"40W ",Saturday,19
2021217585,"8/28/2021 6:45:51 PM","1503-A TUPELO PL","          ",1690840.38,1140826.13,DISTURBANCE,,"30S ",Saturday,18
2021217572,"8/28/2021 6:32:48 PM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Saturday,18
2021217570,"8/28/2021 6:32:08 PM","5008 DUSTIN CT","          ",1683072.13,1115034.13,"ASSIST CITIZEN",,"60W ",Saturday,18
2021217568,"8/28/2021 6:24:30 PM","4500 BETHEL ST","          ",1684820.38,1117659,"911 CHECKS",,"60W ",Saturday,18
2021217566,"8/28/2021 6:21:15 PM","5300-BLK SILVER MILL DR","          ",1688203.13,1155557.13,"911 CHECKS",,"10E ",Saturday,18
2021217561,"8/28/2021 6:08:23 PM","2300 BERNADETTE DR","          ",1675942.38,1139995.25,"911 CHECKS",,"10W ",Saturday,18
2021217560,"8/28/2021 6:06:43 PM","E STADIUM BLVD/CHAMPIONS DR","          ",1689663,1129413.75,"TRAFFIC STOP",,MUG1,Saturday,18
2021217559,"8/28/2021 6:04:51 PM","4000-BLK FRONTGATE DR","          ",1669996.25,1121049.13,"911 CHECKS",,"60W ",Saturday,18
2021217558,"8/28/2021 6:03:11 PM","501 E NIFONG BLVD","          ",1688040.13,1120451.63,"ASSIST CITIZEN",,"60E ",Saturday,18
2021217556,"8/28/2021 5:57:28 PM","2601-101 RANGE LINE ST","          ",1689453,1144905.63,"CHECK OPEN BUSINESS",,"30S ",Saturday,17
2021217554,"8/28/2021 5:56:58 PM","S PROVIDENCE RD/E STADIUM BLVD","          ",1687546.38,1130408.13,"TRAFFIC HAZARD",,"60E ",Saturday,17
2021217548,"8/28/2021 5:50:52 PM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"ASSIST CITIZEN",,"80A ",Saturday,17
2021217543,"8/28/2021 5:43:57 PM","E WALNUT ST/N SEVENTH ST","          ",1688838.13,1135785.75,"ASSIST CITIZEN",,"70D ",Saturday,17
2021217540,"8/28/2021 5:37:37 PM","702 WILKES BLVD","          ",1689024.5,1138537.25,"ASSIST CITIZEN",,"20E ",Saturday,17
2021217537,"8/28/2021 5:35:49 PM","3500 CLARK LN","          ",1701431.13,1139793.38,"911 CHECKS",,"40W ",Saturday,17
2021217534,"8/28/2021 5:33:43 PM","3501 CLARK LN","          ",1701203.13,1141404,"911 CHECKS",,"40W ",Saturday,17
2021217530,"8/28/2021 5:24:53 PM","1107-A E BROADWAY","          ",1690169,1135428.38,ACCIDENT,,"70D ",Saturday,17
2021217519,"8/28/2021 4:58:06 PM","600 E WALNUT ST","          ",1688611,1135728.88,"CHECK SUBJECT",,"70D ",Saturday,16
2021217516,"8/28/2021 4:51:24 PM","1600 E BROADWAY","          ",1692801.13,1134744.75,"TRESPASS SUBJECT",,"70E ",Saturday,16
2021217515,"8/28/2021 4:51:12 PM","800 W STADIUM BLVD","          ",1682959.88,1130527.63,"ASSIST CITIZEN",,"50W ",Saturday,16
2021217512,"8/28/2021 4:46:15 PM","1408-NW215 W BUSINESS LOOP 70","          ",1680256.13,1140929.5,"911 CHECKS",,"10W ",Saturday,16
2021217511,"8/28/2021 4:45:43 PM","1201-A GRINDSTONE PKWY","          ",1690399.25,1121329.75,FRAUD,2021008323,"60E ",Saturday,16
2021217507,"8/28/2021 4:41:34 PM","119 REDWOOD RD","          ",1681375.63,1136812.88,"911 CHECKS",,"50E ",Saturday,16
2021217505,"8/28/2021 4:39:06 PM","N HWY 63 NB/E PRATHERSVILLE RD OFFR NB","          ",1695920.38,1156880.63,"STALLED VEHICLE",,"30N ",Saturday,16
2021217501,"8/28/2021 4:35:50 PM","2001-C W WORLEY ST","          ",1677204.75,1139422.63,"911 CHECKS",,"10W ",Saturday,16
2021217497,"8/28/2021 4:31:32 PM","2000-BLK PARIS RD","          ",1694995,1141168.13,ACCIDENT,,"40W ",Saturday,16
2021217494,"8/28/2021 4:26:15 PM","2637 S OLD 63","          ",1695264.38,1123821.13,FRAUD,2021008324,"80S ",Saturday,16
2021217493,"8/28/2021 4:26:05 PM","603 TALON RD","          ",1708922.63,1137311.25,"911 CHECKS",,"80N ",Saturday,16
2021217491,"8/28/2021 4:24:19 PM","1513 KILLIAN CT","          ",1679353.5,1115379.88,"911 CHECKS",,"60W ",Saturday,16
2021217480,"8/28/2021 4:18:14 PM","FORUM BLVD/WOODRAIL AVE","          ",1680820.63,1122981.75,"TRAFFIC HAZARD",,"60W ",Saturday,16
2021217474,"8/28/2021 4:12:05 PM","800 W STADIUM BLVD","          ",1682959.88,1130527.63,VANDALISM,2021008321,"50W ",Saturday,16
2021217473,"8/28/2021 4:10:58 PM","ASPEN DR/I70 DR SW","          ",1681320.13,1140048.25,ACCIDENT,,"20W ",Saturday,16
2021217470,"8/28/2021 4:09:25 PM","29-B E STEWART RD","          ",1686883.13,1133562.63,LARCENY,,"50E ",Saturday,16
2021217465,"8/28/2021 3:59:43 PM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"RECOVER PROPERTY",,"80A ",Saturday,15
2021217461,"8/28/2021 3:53:00 PM","2799 N GARTH AVE","          ",1685846.5,1145876.88,"CHECK SUBJECT",,"10E ",Saturday,15
